title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Evil on Queen Street: Domination,movie,"""Horror""",2009,tt1505338,2.9,10,"""US"""
Evim Sensin,movie,"""Drama, Fantasy, Romance""",2012,tt2261505,5,6225,"""TR"""
Evolution 4K,movie,"""Documentary""",2018,tt8267112,5.6,105,"""BM, GH, GI, IS, KE, NG, NZ, TC, UG, US, ZA"""
Evolution of Organic,movie,"""Documentary, History, News""",2017,tt5848362,9,7,"""AG, AU, BB, BM, BS, BZ, CM, GH, GI, GY, IE, JM, KE, LC, MW, NG, NZ, PG, PH, TC, TT, UG, ZA"""
EXchange,tv,"""Reality-TV, Romance""",2021,tt28893202,8.5,57,"""JP"""
Exeter,movie,"""Horror, Mystery, Thriller""",2015,tt1945044,4.5,6267,"""US"""
Exodus to Shanghai,movie,"""Action, Adventure, Drama""",2015,tt4045380,6,104,"""IE"""
Expensive Candy,movie,"""Drama, Romance""",2022,tt21968374,6.1,681,"""HK, ID, MY, PH, SG, TH, TW"""
Experience Preferred... But Not Essential,movie,"""Drama""",1982,tt0083911,7,277,"""AU, CA, GB, GG, IE, NZ, US"""
Experimenter,movie,"""Biography, Drama, History""",2015,tt3726704,6.6,20026,"""AR, BE, BO, BR, CL, CO, CR, DO, EC, GT, HN, JP, MX, NL, PA, PE, PY, SV, US, UY, VE"""
Exporting Raymond,movie,"""Comedy, Documentary""",2010,tt1356763,6.8,1969,"""US"""
Exposed,movie,"""Crime, Drama, Mystery""",2016,tt4019560,4.3,17171,"""AR, AT, BO, BR, BZ, CL, CO, CR, DE, DO, EC, GB, GG, GT, HN, IE, JP, MX, NI, PA, PE, PY, SV, UY, VE"""
Exposing Muybridge,movie,"""Biography, Documentary, History""",2021,tt14714732,6.9,197,"""US"""
Extracted,movie,"""Drama, Sci-Fi""",2012,tt1757746,6.4,12619,"""BE, CH, GF, MC, PF"""
Extraction Day,movie,"""Action""",2014,tt3793230,2.8,337,"""AT, CH, DE, LI"""
Extreme Honor,movie,"""Action, Drama""",2001,tt0264606,3.4,247,"""BE, CH, CI, FR, GB, GF, GG, MC, PF"""
Extreme Ice Machines,tv,"""Documentary""",2020,tt13216430,7.1,12,"""AU, GB, GG, NZ"""
Eye of the Beast,movie,"""Action, Adventure, Horror""",2007,tt0867286,4.3,1492,"""ES, GB, GG, IE, US"""
Eye on Juliet,movie,"""Drama, Romance""",2017,tt4702752,6.4,598,"""IT, SM, US, VA"""
Ezra,movie,"""Comedy, Drama""",2023,tt20315818,6.4,3539,"""AG, AR, BB, BM, BO, BR, BS, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, PA, PE, PY, SV, TC, TT, UY, VE"""
Face of the Enemy,movie,"""Drama""",1989,tt0097323,6,64,"""AU, GB, GG, IE, NZ, US"""
Faceless,movie,"""Thriller""",2021,tt4372326,4.1,390,"""GB, GG"""
Faceless,movie,"""Drama, Short""",2012,tt2328966,4.8,8,"""AU, DK, FI, IS, NO, SE"""
Fading Gigolo,movie,"""Comedy, Romance""",2013,tt2258345,6.2,25677,"""BB, BM, CA, IN, US"""
Fainaru faito - Saigo no ichigeki,movie,"""Action, Adventure, Drama""",1989,tt0140859,4.6,665,"""BM, CM, GH, GI, GY, IE, KE, MW, NG, PG, UG, US, ZA"""
